dataset,mode,model,setting,target_acc,ver_acc,fpr,fnr
Cora,inductive,gcn,gcn_352_128.pt,0.256,1.0,0.0,0.0
Cora,inductive,gcn,gcn_288_128.pt,0.101,1.0,0.0,0.0
Cora,inductive,gcn,gcn_224_128.pt,0.236,1.0,0.0,0.0
Cora,inductive,gat,gat_288_128.pt,0.103,1.0,0.0,0.0
Cora,inductive,gat,gat_352_128.pt,0.164,1.0,0.0,0.0
Cora,inductive,gat,gat_224_128.pt,0.102,1.0,0.0,0.0
Cora,inductive,sage,sage_224_128.pt,0.079,1.0,0.0,0.0
Cora,inductive,sage,sage_288_128.pt,0.089,1.0,0.0,0.0
Cora,inductive,sage,sage_352_128.pt,0.132,1.0,0.0,0.0
Cora,transductive,gcn,gcn_352_128.pt,0.32,1.0,0.0,0.0
Cora,transductive,gcn,gcn_288_128.pt,0.298,1.0,0.0,0.0
Cora,transductive,gcn,gcn_224_128.pt,0.211,1.0,0.0,0.0
Cora,transductive,gat,gat_288_128.pt,0.101,1.0,0.0,0.0
Cora,transductive,gat,gat_352_128.pt,0.146,1.0,0.0,0.0
Cora,transductive,gat,gat_224_128.pt,0.257,1.0,0.0,0.0
Cora,transductive,sage,sage_224_128.pt,0.071,1.0,0.0,0.0
Cora,transductive,sage,sage_288_128.pt,0.07,1.0,0.0,0.0
Cora,transductive,sage,sage_352_128.pt,0.091,1.0,0.0,0.0
