Dataset,Setting,Mode,Ori_ACC(%),FPR(%),FNR(%),Double_ACC(%)
Amazon,I,Inductive,87.19,0.0,0.0,100.0
Amazon,I,Transductive,87.4,0.0,0.0,100.0
Amazon,II,Inductive,83.95,0.0,0.0,100.0
Amazon,II,Transductive,83.97,0.0,0.0,100.0
Amazon,III,Inductive,37.51,0.0,0.0,100.0
Amazon,III,Transductive,37.51,0.0,0.0,100.0
Amazon,IV,Inductive,37.51,0.0,0.0,100.0
Amazon,IV,Transductive,37.51,0.0,0.0,100.0
CiteSeer,I,Inductive,87.29,0.0,0.0,100.0
CiteSeer,I,Transductive,87.29,0.0,0.0,100.0
CiteSeer,II,Inductive,85.81,0.0,0.0,100.0
CiteSeer,II,Transductive,85.81,0.0,0.0,100.0
CiteSeer,III,Inductive,40.7,0.0,0.0,100.0
CiteSeer,III,Transductive,42.02,0.0,0.0,100.0
CiteSeer,IV,Inductive,49.23,0.0,0.0,100.0
CiteSeer,IV,Transductive,49.23,0.0,0.0,100.0
Cora,I,Inductive,94.05,0.0,0.0,100.0
Cora,I,Transductive,94.35,0.0,0.0,100.0
Cora,II,Inductive,93.17,0.0,0.0,100.0
Cora,II,Transductive,93.17,0.0,0.0,100.0
Cora,III,Inductive,30.21,0.0,0.0,100.0
Cora,III,Transductive,30.21,0.0,0.0,100.0
Cora,IV,Inductive,42.98,0.0,0.0,100.0
Cora,IV,Transductive,42.98,0.0,0.0,100.0
PubMed,I,Inductive,87.47,0.0,0.0,100.0
PubMed,I,Transductive,87.47,0.0,0.0,100.0
PubMed,II,Inductive,87.38,0.0,0.0,100.0
PubMed,II,Transductive,87.38,0.0,0.0,100.0
PubMed,III,Inductive,68.86,0.0,0.0,100.0
PubMed,III,Transductive,68.86,0.0,0.0,100.0
PubMed,IV,Inductive,67.85,0.0,0.0,100.0
PubMed,IV,Transductive,67.85,0.0,0.0,100.0
dblp,I,Inductive,88.02,0.0,0.0,100.0
dblp,I,Transductive,87.99,0.0,0.0,100.0
dblp,II,Inductive,89.05,0.0,0.0,100.0
dblp,II,Transductive,89.02,0.0,0.0,100.0
dblp,III,Inductive,52.08,0.0,0.0,100.0
dblp,III,Transductive,52.08,0.0,0.0,100.0
dblp,IV,Inductive,77.62,0.0,0.0,100.0
dblp,IV,Transductive,77.6,0.0,0.0,100.0
